Col1	Col2	Col3	Col4	Col5	Col6
0.749478301	2.399756586	8.208045995	13.53653672	18.04549255	17.30002006
0.717532766	0.022190217	6.866687961	7.681527133	9.0875267	22.91219587
0.462053309	3.779837229	5.256992747	4.969735119	5.238447844	34.931799
0.07020419	3.684148042	4.100344709	6.526576823	13.97007301	13.24126197
0.927964556	3.465026035	8.806172206	3.668739281	1.40268122	32.17883257
0.057341849	1.100376884	5.612009646	6.292567028	6.841255255	6.391221618
0.68084316	1.4187097	8.17992287	10.86860793	17.16682835	21.15951137
0.035174014	2.643502425	3.224814884	12.80015939	19.91762712	6.639038137
0.218210954	3.615751142	5.294980019	4.693987782	0.408882495	23.49526424
0.449984104	2.185927969	6.554124912	0.001572368	19.43583442	18.06761766
0.84136757	2.298485499	3.622339929	15.17825292	0.950762418	27.23680259
0.634088062	2.482393011	0.73488744	14.275129	19.07714496	23.31381851
0.986910464	0.987598941	7.77474787	11.0600654	18.1483489	10.41081568
0.460023864	2.865800398	3.260400611	13.82714634	24.64758287	18.87651564
0.693267658	1.285440819	4.036987094	13.94242427	24.13916359	2.980631498
0.34847331	2.910409698	7.881954307	3.326028012	1.454968015	31.23206081
0.20707848	1.12863552	2.190194975	12.44598654	0.45727986	35.02422078
0.917897636	1.935874166	2.47662496	13.90658721	24.62449508	12.69817954
0.02376177	0.198542767	1.419407643	1.179831926	20.47353716	14.76584267
0.641519283	0.484577936	1.262556844	2.184023026	1.077080007	17.536098
0.854734742	1.973918837	2.368789882	4.607240515	8.632050408	2.54191792
0.912376321	3.497501326	5.193568284	10.03753994	14.18448905	17.64012976
0.784411385	0.833764877	1.045409134	8.666425872	3.870373453	1.828664483
0.806072784	3.760053815	0.15927031	13.6920604	17.84096804	0.800520244
0.17566544	2.618411703	8.982939966	14.06960881	18.96859436	1.422576195
0.882724551	0.158345556	7.827943715	10.60080785	11.4920797	26.18233597
0.795619942	3.026088132	6.866478922	3.223377182	20.79103177	25.27430633
0.637013708	3.500583293	8.768478875	12.91569721	18.16335875	33.70541459
0.377466513	0.24588836	3.538794408	6.609600388	14.12157016	30.95160993
0.060067292	1.223772033	2.07451488	11.60972965	20.20066705	27.50677929
0.410741994	3.977097795	6.340053574	6.562766366	12.56382266	21.99827565
0.553958379	0.713073938	2.542586035	15.90108765	9.30208463	35.25793516
0.723970148	3.292115871	4.277843763	8.351880614	10.18318174	26.01812221
0.332871667	1.52427744	4.718601256	8.546056767	14.08576192	16.23906411
0.705704067	3.461025585	8.613388026	8.681572361	23.64696617	2.738259413
0.797032992	3.544683794	1.468965419	14.52252095	9.738999682	35.12128435
0.534554573	0.989241345	5.07297232	8.373575084	16.30858797	27.99675652
0.26028927	3.577277117	1.298201448	10.72296062	24.27291785	8.256314822
0.666024665	0.030085319	0.449189796	9.9612508	7.000805464	26.24455169
0.156705986	0.182937353	7.371005237	3.780457837	19.29409056	14.80584737
0.785697721	0.309298131	0.735754837	13.5560862	17.62030906	13.11437909
0.537298168	1.579692268	1.077311948	0.844808643	0.823986144	32.13626704
0.927909841	2.810587967	6.648403034	8.926554793	15.10581687	9.740959985
0.844267224	0.781605566	5.368145419	13.41007713	2.778638601	24.74974953
0.645215604	3.651132592	2.099771267	12.88602518	17.90806396	3.814677111
0.363810133	0.851257925	1.840644481	0.176472877	9.936361705	24.66872494
0.490744053	3.158887016	7.453416816	15.00285859	22.6002964	0.880190535
0.930612418	3.558378146	5.06633092	6.475146089	1.457038901	4.161628176
0.634268534	1.618206584	8.856050206	11.85725303	18.48550622	26.06605169
0.440701871	3.675410481	5.907368493	4.979602437	3.096448565	10.9890403
0.25634964	2.555128541	5.254410626	14.20106031	14.88740511	16.499954
