Col1	Col2	Col3	Col4	Col5	Col6	Col7	Col8	Col9	Col10
0	17.10285786	20.27717915	22.54195486	21.08500469	28.04111119	20.75424521	28.89614405	24.8441875	27.56127416
0	17.87972621	20.16583543	24.01058932	27.66344324	29.09251686	23.78802393	29.51872175	27.67579303	23.85807833
0	20.29653133	28.88576305	23.15751609	27.94272023	23.21105347	23.98649686	25.37993402	25.95182921	22.72192922
0	16.68346219	26.63637244	24.56509441	28.13740502	28.20323599	22.62378408	20.17783213	21.43930408	25.2264311
0	20.61864127	21.82527081	25.67824355	27.42849867	21.76233264	21.52586209	29.17295927	21.98343178	27.69427259
0	23.179954	22.93133425	26.47638851	26.94013914	27.83375109	26.05487452	22.92593982	28.77451127	27.27606469
0	21.69603043	21.1946919	25.09717638	28.53028323	29.46941706	27.8290213	28.2722472	26.04384359	24.97903144
0	17.40538165	28.92745438	25.36754039	28.6529331	20.32909859	20.04298307	24.98600213	28.98403835	25.33878517
0	22.33232001	22.23087031	28.80282109	20.74080261	24.16525284	26.73899783	21.29364412	26.45498732	22.90627964
0	19.43894024	22.14631784	26.53329396	23.09055179	26.04512576	21.31118655	28.22883853	22.1493862	22.4463254
0	22.14883504	26.83755549	22.49407334	27.48103723	27.46971507	28.15756185	20.76148813	22.49068637	22.66367489
0	18.3110039	26.39796853	22.62800174	27.42744088	25.29060344	24.06607364	29.03126958	25.79970748	23.9084716
0	15.76230761	22.98228446	20.37149929	25.01730657	20.87960154	24.16251787	27.67284348	23.65760901	22.27506432
0	21.04966649	26.76376648	21.69961288	21.24583461	27.91415573	25.40026503	20.25256173	25.74199624	25.55137578
0	22.24627101	22.57953783	20.18075242	20.70495102	26.05733624	25.8535672	23.51581318	21.1150004	24.67173153
0	22.38324606	25.14570669	29.28496639	23.90112719	21.00103184	25.4691517	29.72394237	29.02682875	22.43385612
0	20.77343219	23.60534717	28.35924833	25.72840375	29.17516341	28.74420559	28.44388754	24.51521215	24.51827458
0	21.12499284	27.71623431	27.24856601	22.30117143	25.68167125	24.5767254	20.18639175	21.18515767	21.53047475
0	22.67867182	23.12241978	20.75681956	20.00702947	22.43500269	26.2022148	27.71994705	28.42053322	24.4501142
0	18.74488832	26.62164013	29.5528823	21.46507237	29.55226836	28.76838012	22.18905268	26.11592256	26.18383791
0	16.05280024	20.90123786	22.33190408	27.59756652	25.38273819	23.42322538	23.50130264	26.47840459	21.81683885
0	15.78354405	21.79456918	27.27263329	29.51419569	25.30188571	27.19835459	27.374675	22.48699123	23.0053776
0	16.00438535	21.20868728	26.41827887	25.80166352	26.36763248	23.59695786	29.07939189	22.65628458	29.47413952
0	17.61624284	28.67674701	20.10728992	24.83865086	22.1863136	22.04677638	25.54857925	28.26465903	26.25793529
0	22.48815337	22.11703967	27.95475737	29.86489525	24.02017864	22.91500451	23.51499369	29.90919894	29.58958978
0	19.18959196	22.13315895	28.94833593	22.27803617	24.97001685	25.72460081	20.51525277	29.79471987	20.97030486
0	15.81631848	25.32826182	21.853622	24.58704344	26.45680259	27.69188679	25.75568082	28.27257548	24.5727418
0	17.59091598	27.34240279	23.80084557	22.10564784	28.52776205	27.56136751	20.53467754	23.94541091	23.32107121
0	17.75071359	28.41912734	28.31550618	25.46049119	24.34367005	20.2185169	23.20062394	25.94976005	29.4843382
0	15.76769785	23.9707869	27.42050667	21.69980847	22.41209095	26.5893317	21.55248414	25.93397344	28.91672379
0	21.77154407	26.54872017	26.92831342	24.39303888	27.85977215	21.80243165	22.75062426	20.58381719	27.38830527
0	15.68622928	27.8443347	22.4070593	23.74220414	24.84042884	25.90452057	29.99580101	24.45185328	27.15827006
0	22.30225557	25.72283488	24.89914779	21.38971333	25.45922337	21.53889139	26.865271	27.48672732	21.16694501
0	18.07216475	23.16863763	28.01668583	23.71652282	25.41544474	29.47733604	20.45015552	23.44525418	20.54109532
0	20.6803775	25.28121254	26.03562039	28.84387678	24.03076177	22.26262743	26.30601485	24.986824	21.7233298
0	22.29403272	23.09651657	26.57693988	27.93400578	22.16950344	25.15266164	26.61563309	27.7687437	24.92946469
0	21.88784634	26.28065169	25.30325484	28.21719587	26.08297006	25.59427581	29.63934788	22.57783555	26.19278463
0	21.65360778	24.50810575	28.66069764	29.96091323	29.14048837	25.73155412	26.3115291	21.76514294	29.58138092
0	15.54365695	25.15915182	27.31345227	22.24479097	29.84198244	26.35198359	25.52597893	23.20113964	21.27649278
0	18.1788153	22.80833825	22.41449647	26.15323691	29.32347263	24.91407501	29.8545866	29.61944231	26.35447036
0	19.22815322	24.54765648	23.94243127	22.48553306	22.82942549	21.44560841	20.44388042	25.64897399	21.30309077
0	19.47198187	21.89573623	29.54673826	21.80741962	26.49880012	24.54339272	26.99291865	29.43219321	26.44129012
0	21.9341406	26.79437978	22.82583862	29.21686858	21.61707934	20.76975201	26.13860821	26.04544308	21.5910093
0	20.00033079	26.36235083	23.73490029	28.82978468	27.86128969	25.03316897	27.72557197	27.4363794	20.27807759
0	20.61142739	20.78172056	24.57943712	24.13296546	21.37355259	27.56270076	29.03073463	25.92628165	22.19867429
0	17.18216706	28.15428266	27.56560869	20.07441137	23.82971739	23.69630529	28.01542213	25.96849673	28.75083787
0	21.43091983	25.21321221	27.42098597	29.47042192	23.7454102	22.63609	20.53439976	23.00711657	27.91351794
0	22.19263875	24.02413783	28.32939119	27.81786869	25.15653047	24.19618879	23.29258286	20.36114658	22.46964108
0	21.7965384	25.12903141	26.63180049	27.09944267	29.68782486	22.81946947	22.53863384	23.13844254	20.63716988
0	21.50462335	28.46765269	22.52802936	26.61196484	20.41802274	20.54236813	21.41529808	25.58736364	21.09647092
0	19.581557	27.50478147	22.82429257	23.5618514	27.37509267	28.56002705	26.11206427	25.74649504	20.77277358
0	16.30449791	23.33148515	24.10822087	20.2151609	22.25408771	20.24283679	28.4562389	28.36988106	24.18996883
0	21.09938727	21.21651259	28.61639529	20.21922719	22.75284545	21.93595719	24.55049012	23.28692558	27.53224995
0	22.5066857	24.83608304	21.42524572	27.22109807	26.60368432	20.93665523	25.29165672	27.56686593	25.66788015
0	19.68726169	27.60445287	28.30126449	23.67577538	22.02371158	24.8116495	26.47129173	25.36934005	20.60831468
0	19.38118304	28.21726892	20.95389388	24.62339372	26.37455502	27.27500951	26.82149561	20.34662097	21.32190711
0	15.79077978	23.23270761	24.75800142	26.20392103	25.99334647	22.07948388	24.76196666	23.56374955	21.46849342
0	18.11394281	29.56748883	24.71398594	29.32373306	29.87718497	22.92858054	24.11763057	27.73102819	22.42328946
0	19.48975022	24.61203269	21.5889387	24.625624	22.86245457	20.46328785	25.27095002	22.49640198	24.41568629
0	18.84970584	24.66962438	25.38265608	25.10467035	27.12067241	24.80339513	21.13942495	26.55628414	24.83328783
0	15.70335665	22.40246752	28.07705784	27.25186472	22.47980799	21.31602391	26.92043332	28.21690933	23.10913312
